1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-293.43495764273894,-294.32129120869786,-267.035130139259,-264.83020659590426,-270.820200630259,-283.38119624992896,-237.86666456571297,-322.90277109225354,-345.7918035980436,-351.37736686945374,-329.30675463095344,-337.3258516927966,-361.39425309157,-466.5856569584105,-516.5891048023029,-303.2501254342106,-415.10382217638426,-416.65076838716243,-486.701968698143,-449.2428105392066,-421.56772539767087,-456.61289613125484,-597.7220689032788,-550.3118051897256,-473.127071439629,-613.1372843741301,-617.3656697498251,-611.0590997497249,-546.2757055726461,-471.320719679881
-255.02558336939325,-253.96545580279437,-281.0933854030018,-255.8468880961465,-281.44954275029136,-301.81143323106465,-313.2094263341742,-300.73540113796184,-270.46770937737483,-328.6150223526759,-343.77337827461764,-321.49335995771014,-284.9034757888393,-349.7338225038784,-400.204072910053,-324.3729956025076,-444.78607757601037,-390.14316947543364,-349.28861466007356,-363.3503450324605,-405.99897882186065,-351.9308821514504,-342.18950817111727,-465.426937144252,-634.0005419536611,-597.5237195967994,-366.352059093967,-466.72953778408163,-379.83483482629845,-566.4499194147963
-285.3950955496506,-286.3820712817698,-294.6650277213425,-283.2874620445441,-306.90124743518646,-240.5761981522305,-303.6284875274333,-323.90845646555977,-315.0327855981241,-374.10999694630294,-339.27152626699916,-347.3776569833337,-339.79982407052114,-344.70360230534845,-554.826526410362,-479.9689099520608,-422.43025873681785,-425.9232390979661,-368.08275497853606,-430.6317772194951,-387.8850687634652,-462.36555318260577,-390.8113718553358,-495.6366788233332,-572.172429714913,-535.091392389154,-500.28614530801184,-598.3307200067079,-528.810648857031,-341.94961625047006
-273.86729045747387,-292.61858688539513,-261.8773058202454,-240.40497669562654,-296.2775541591091,-250.89564414482723,-262.1732955069495,-336.240871081529,-317.5517501015623,-328.24087821628626,-310.80343019836107,-385.82403558205505,-338.9761362141485,-330.98380025775793,-552.1950767705839,-379.1611015333647,-331.3134969998842,-438.06883047436145,-329.5853818945484,-551.3832888331314,-433.8128507430441,-476.45722698884305,-554.9290544566019,-449.5008985371987,-434.26750262646294,-488.5469889239531,-652.345261491879,-659.1642060731451,-563.9592743815167,-445.63452668008284
-253.86472780821077,-279.1471059109469,-231.0809488579842,-294.4737947041324,-277.66243235627167,-298.3126365868794,-296.43964110914493,-286.40579896498764,-292.8693004796931,-370.3881856227774,-295.1105401119467,-319.57359255626034,-378.14441363093425,-395.68738474515834,-355.8030645185954,-348.6641342594945,-332.23796406875977,-345.60566764110894,-408.40854273961327,-492.4909252873053,-503.704514244052,-462.9723705239324,-624.2365674810574,-452.5412316887145,-648.7225114178865,-528.5374990525459,-610.6267172962029,-566.308236086079,-619.5989499050021,-368.63344327679573
-293.12827669465935,-291.5468605214081,-298.6033037575779,-266.73474206900556,-328.0483653627225,-286.22220067731814,-280.136825030665,-326.9713088318421,-304.9477122184071,-350.3904736952033,-337.0219846871309,-394.6750294730074,-313.5798834118521,-434.13224417049634,-425.6450130273414,-443.6213695525454,-496.63708496374073,-456.50871428384363,-411.6248697067777,-504.8028786281062,-480.01475120176246,-522.5009261976461,-480.7025429823836,-616.8327824583718,-521.9984429037244,-577.2266201650394,-563.7563501812854,-490.8421780480555,-535.6150985433522,-480.7588128602968
-291.8454551618826,-294.40166609303674,-237.85043405402243,-296.54803226417,-289.2216926253158,-281.8234258314857,-303.11394282646575,-349.6393553466321,-307.8537485441156,-381.50129024464866,-244.23376109232214,-347.8188452142067,-463.67867254489283,-447.60513764888003,-494.6219989956086,-351.88351438187954,-358.9091559334456,-384.3443067840125,-426.99171631344154,-440.0181574009029,-494.4407501173865,-481.0538820431672,-449.48954405801,-429.25707550212036,-467.99831898952425,-401.88782470063427,-621.5700077060352,-406.98580732782483,-472.1129152692133,-554.9882676457154
-287.64165894128973,-291.22992613534177,-252.79723175556347,-282.2719967115702,-277.050107905679,-301.81091860467455,-293.76759512238937,-372.3367048540287,-307.0210854857793,-328.47030310053987,-365.3567693299382,-347.71788563326766,-348.329850139074,-399.8732880075382,-484.89973379000986,-417.3847132749619,-415.31935081656366,-335.9532996374371,-397.3880937027385,-519.9987466528903,-645.3185249089078,-416.88392590517884,-458.3655974945708,-439.5804467659994,-585.6873154101862,-531.3599473374644,-727.7139714830507,-626.5583980220381,-398.5478351426873,-544.5172909035143
-292.3390603763966,-288.7844144035367,-275.61969132509904,-231.96283870069297,-241.69828469906562,-302.50140483901004,-307.46439003469396,-362.1808425524184,-345.3044462299276,-354.6686270086234,-432.59466097142933,-317.67287907758515,-378.867741936659,-497.3709764197498,-317.7050127544956,-330.4616476092757,-304.33401264756213,-421.22280544982647,-487.565299132293,-400.5509747283632,-387.33030138842594,-486.9632482904943,-466.6956196350397,-339.3164474471405,-469.19015354379314,-432.58557797182993,-313.8521348486997,-582.3345998396371,-430.18230029726095,-504.9285999067424
-289.3807251673984,-293.90231728572553,-295.55465091487616,-273.03359892537196,-267.4565312847939,-298.9797374646042,-312.455678925946,-324.55250393446966,-309.21009235994234,-416.0857556737047,-268.54825573701845,-344.93671199994316,-391.65161584718356,-379.8861394160987,-303.70809889428097,-303.5832990129274,-479.66681437019685,-500.0056387388345,-399.3490188681647,-322.36831398996844,-497.74180248247256,-494.59496867042645,-595.494757920333,-488.39398896673083,-567.2082420813643,-636.0372362169003,-428.13633290230916,-522.855446260277,-578.5647746839819,-619.8057344341196
