1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-6341.051085640436,-6376.841781945799,-6193.191947592547,-6559.129794177453,-6268.956243632432,-7846.764814440565,-9062.133818970768,-9355.809060852482,-10918.277964798312,-14887.125595612904,-16039.480355186917,-47081.08086272169,-15940.581149800126,-36270.5958235728,-41072.62885748033,-30347.255594163784,-64454.64075796989,-10049.958464494539,-74329.20022133703,-67771.09956035412,-48522.00785425952,-86129.28697012308,-61699.68200846384,-106315.84547552139,-106371.11219488697,-118459.10957315398,-136649.2654403373,-98161.25491290474,-129148.0890060479,-86149.2891860865
-6314.282852985416,-6312.0603146332505,-6547.703094798638,-7382.548289170575,-6673.5835361952095,-13121.39641257396,-8372.344886562927,-6650.996650604744,-8613.019316998667,-19481.222029552384,-21855.399737876072,-8517.456332624048,-11985.053804095387,-19714.662837941425,-34255.29301155367,-45141.96926263531,-49799.69766404417,-62269.80551584631,-65171.66162426939,-51576.827353487686,-40206.277195174895,-66752.25397097906,-88512.91962129758,-86360.24612051515,-98498.27242493504,-128069.3017852949,-134197.60509701908,-127123.1924339182,-111865.05476523428,-133779.1714912224
-6314.297760834264,-5734.321259875964,-6538.716920807693,-7042.01845971398,-6635.8174482395025,-6931.569641244655,-13572.568405631406,-15898.768571444281,-9465.458583454149,-16233.995618850682,-23119.79228269166,-23044.777650645312,-17470.055484249297,-25217.1139518847,-55165.843345351976,-56023.554052194624,-28101.060465441165,-56650.22536730457,-44567.58402241583,-37118.02640517987,-39451.50157051206,-85111.06270101745,-130402.96787190858,-127996.35920327767,-49106.29399749221,-120961.32267519945,-72242.65014740788,-126973.26260352488,-75244.18060497718,-107144.42037891585
-6317.809865288775,-6313.248810333273,-6319.139057310355,-6315.454715929043,-6765.907902502088,-6717.504698236876,-6693.7921349325825,-16419.52644771764,-6250.080334978576,-26446.625690354085,-34225.180164516234,-11775.40890493378,-36774.93610927078,-10136.095803770893,-30021.416374563858,-34277.221503331726,-47471.19912329417,-50052.661118192795,-81918.80964166271,-34306.96973824831,-85762.54677520444,-76728.08377171215,-98235.17957790679,-103424.79110868106,-84988.47156275339,-98364.64797716321,-95626.62965444222,-96674.66565517253,-112886.39304704449,-95747.6449954024
-6593.862479447198,-6244.314791328477,-6314.863354285823,-6368.367535554518,-6451.136676605457,-7249.932890320251,-6444.50567979292,-7736.7138624039035,-16898.349975170673,-11155.404749755677,-13002.18313971473,-21787.496537856106,-19615.52227788235,-35100.05740783606,-47172.406767004104,-65252.20575718008,-47635.41706704025,-72252.1769121963,-44594.04030139205,-54836.4098086163,-60688.419300510206,-95988.50072527114,-39554.58031716234,-116522.60888656153,-110641.86927210615,-73719.52533574842,-129724.63501988053,-172194.82360670777,-80120.14439620198,-111482.8033378512
-6312.554430358269,-6346.1479986988215,-6538.990052686514,-7508.957972541427,-7588.067083556418,-6864.513438415731,-6425.801775390051,-15557.210450341296,-13278.614014256127,-15578.030900534053,-18027.51114768182,-24607.246949500874,-35042.80557523312,-23592.154281444436,-26631.664196037647,-36522.55425632091,-15924.260673661713,-52574.623618168866,-68398.3165464222,-74613.53269093392,-36398.528869770416,-56906.336539418226,-72433.90229923782,-74418.07428905039,-131318.3872127978,-118592.77894632459,-116733.63281275427,-153684.35382178327,-72990.81248080799,-147406.53194564398
-6313.548823974669,-6261.24024903998,-6417.6144684962965,-6561.19540329808,-7450.764319148898,-6426.545007575747,-7429.513144007824,-16961.634402142252,-24986.733187699032,-17737.62160652097,-12498.065227900912,-14592.220353478278,-20997.83694135196,-14100.844178365489,-26039.69808307938,-63666.75265076841,-37546.09618326374,-51148.01524250007,-80598.79445010265,-55344.62760094424,-111671.51628817926,-61457.92189635106,-68755.67703450975,-121122.82404863223,-42243.11821359383,-53370.457873457504,-120850.6054565114,-148564.33595275617,-153279.95073013572,-155576.74086816912
-6325.201442146377,-6339.071820495038,-6318.174125801196,-7127.186117181525,-6882.010536438238,-7647.074748633237,-6350.764402810159,-12633.279579463273,-12222.035782102445,-19262.67536914193,-19001.728114936523,-14732.08061490126,-21924.508699631726,-12027.450043293085,-21817.423372802372,-42475.13457804891,-77566.3803530358,-21755.35216272249,-50314.09350110178,-69615.18019280743,-89267.27548386305,-86363.95390494265,-78930.79015781736,-53180.44657968233,-65593.0310429216,-68701.36251639668,-136405.79189706486,-118064.36500632548,-92639.56432482762,-147600.63697490905
-6312.3123279337,-6381.030837273936,-6457.386764591606,-6607.107632693849,-6351.353889628217,-6397.603458611501,-8967.422817802304,-9165.527429872142,-24716.53896290289,-34214.60381394291,-24385.18306107245,-31657.13151422763,-28352.521491384887,-39088.51383287339,-11635.988291812208,-22724.122488300072,-79593.02784068513,-62921.27447512349,-28402.2531169091,-84271.20989302803,-62432.647742505666,-51165.27118345405,-94504.56864517412,-77431.50941780097,-105929.16418777371,-64596.979147737526,-129333.76344587434,-128112.97806634869,-144535.39870448413,-91632.40771879682
-6320.042171187243,-6317.292703503214,-6325.292760048872,-5761.2938712187,-6791.277924284886,-6312.919235254827,-7000.827388005757,-13532.7654521399,-17793.182711431822,-15215.900736801103,-9840.660013263367,-17028.78296479064,-25511.73698032202,-21117.505085689154,-9685.122591870142,-59798.658401256944,-66342.50790621071,-64781.94599865068,-68259.52971278393,-49420.23534313657,-94432.50287287099,-92550.43511844808,-64337.642896221005,-92523.18747172935,-114728.71864947029,-109282.73621799795,-93557.15609552694,-130505.9553147218,-147561.78132051678,-133097.76434550225
-6391.24237496311,-6698.591657888632,-6333.149999500245,-6453.669163516922,-6112.0585976702205,-6654.190988363189,-6554.285909023363,-7096.656340262326,-15849.059801170886,-15532.444300484487,-26381.111913579465,-27782.776637693918,-15314.896247882998,-36019.28026642139,-38278.79949150895,-52494.26310712122,-54137.31988169417,-51704.458802055255,-40750.567307900754,-87734.72237859698,-90461.72307669985,-69633.98895187414,-34998.04407089437,-75257.75461770249,-107173.16953876216,-57337.423294851,-136816.5423619265,-118022.40855537627,-141504.7053599607,-114512.42233343035
-6315.035383554775,-6317.872585201668,-6404.721405457355,-6315.424802129319,-6349.321540569176,-11047.360634105364,-7305.931082383492,-6914.806911925346,-16787.993228440297,-7947.193977607547,-33296.868401912674,-24713.57509705472,-24196.922345209045,-38468.72342552274,-33131.64553375906,-26655.996427607195,-67548.22310662127,-65129.64205745443,-63069.399674214816,-69243.73101109636,-73490.34561105171,-89742.94028626205,-151157.4309820821,-78578.00608123121,-95657.4698298776,-101052.19050000439,-136728.83673593547,-102626.88156737175,-158869.87047842445,-178697.22394866555
-6312.640766020336,-6312.455901720354,-6312.405553666253,-6665.401382096304,-7262.935418583788,-7727.564140354551,-8818.991682836695,-8210.38986042573,-17032.510968302304,-13995.280402785454,-20510.428233820443,-28874.08708811595,-41029.69180029484,-31498.012436923622,-17884.75192620595,-44634.86604202687,-40049.797922009886,-34037.76735293722,-22264.43979350506,-82610.05918398878,-72231.4032180603,-98623.94104243124,-83999.55574065034,-75469.50927666028,-115434.62497843154,-79677.64250483907,-138282.97226202628,-138345.48811231094,-57883.733827000615,-91883.82929417533
-6314.324429217606,-6324.1149320843015,-6369.34449261569,-6858.064828642817,-7511.268059590808,-8730.033775265927,-7726.67870137676,-8128.981623639769,-19003.377484614786,-24194.92368088549,-13494.694372532094,-20026.718985449515,-24106.09869302479,-17017.30377374819,-48340.603609100035,-37986.41053060133,-25774.332314207397,-25674.55812595262,-28559.489043692676,-48963.385942291716,-58665.2417486525,-78412.50569512502,-67992.82594153848,-68742.58944084561,-123483.96952737623,-123390.42847894039,-134189.00107165438,-103515.24199207795,-143078.7275904294,-91552.41732556673
-6312.451912196442,-6354.125912354411,-6632.456393950688,-6313.0501569035,-6570.121720779317,-6714.388890892191,-9914.910759278706,-6712.09147515961,-17784.02109204157,-12072.921368984962,-26288.008147869154,-21289.058146768515,-23479.074721850862,-13100.356944808447,-7335.02212369911,-51095.734355706634,-37922.41272775814,-55274.485597399194,-69132.4603549046,-49461.64070054029,-99720.3216760064,-48076.398905167356,-93221.74844302879,-70566.9492649298,-79186.59994102256,-113763.8355967065,-77259.61146273343,-141556.66762061077,-160803.5814520317,-165120.894403789
