1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-208.24415619162914,-225.51910532260743,-197.7370305764756,-180.15258403886034,-164.87740813668734,-187.42844922554133,-168.21381387919922,-187.9190979382583,-203.3558858935695,-177.89828085099168,-181.8000094199497,-162.1553305186682,-150.62059871721885,-162.7797949691305,-117.30649359755884,-178.20669033691752,-154.64395330191775,-169.56631591779217,-160.58406115273004,-150.64700783724166,-164.30323084803908,-146.6714314876034,-137.34755045531588,-106.94744507198759,-136.14655642383383,-156.28058482033367,-143.7430032503563,-139.1110392916541,-146.60390854658647,-139.13326693344305
-233.28229256475532,-237.2054729859891,-189.5793578644462,-211.674522997938,-185.49941493178764,-160.06654349064354,-175.15947358935088,-126.6714852786969,-172.12541606145592,-163.55604613613943,-181.61110157273274,-159.133058424887,-155.68337102422512,-150.64642290484463,-164.55432748649028,-144.82104380204467,-156.25110767136405,-164.2513489398652,-127.06207734993097,-165.4004419690661,-170.30613670487818,-165.21815827264055,-157.05978987756924,-143.77251290525146,-130.11339901898307,-113.17225941914559,-170.69972581751722,-143.19856842919378,-158.3261094487762,-140.45514957963553
-229.28750106690896,-197.07745119611124,-192.5272041207655,-214.1115949362964,-215.1678998253398,-205.63397590056945,-189.12714050835777,-196.7801133892774,-182.82911348255126,-194.77264432617858,-195.66132976217767,-171.54484203465302,-187.4534116824099,-164.4142958787879,-145.65160819127527,-133.58039351807918,-161.87450655715,-173.93930503306433,-167.85469426825165,-157.8065840795708,-139.93209324484621,-154.8694982826913,-145.20192842450365,-150.77588875862438,-129.833695253559,-137.40384420696472,-175.20048882999902,-174.94039681914467,-152.20463895657326,-151.6631209286677
-204.97437274861934,-200.36563785319953,-211.72410236673733,-170.97658234144816,-129.75021252539042,-142.34582688961473,-202.87432031805687,-180.98992971843188,-154.96919089367282,-164.03487497310462,-141.88385029754102,-196.81090943474968,-159.1618005285315,-167.9830436567001,-168.35112352020235,-171.27061345326354,-161.53367028081487,-184.93643612055828,-176.59370067168686,-157.1437325902335,-165.02670361152727,-128.3486984186058,-167.96301526290443,-138.67207461165484,-142.51715310287815,-129.250309079492,-152.44435068895118,-147.42680765290203,-153.49529554718492,-99.7706034361412
-226.79918422932352,-220.49201978017115,-201.44556161215095,-154.56918053510577,-212.49392720658292,-202.21663615864964,-196.22872834452858,-181.6155788370993,-170.64106942764525,-169.47134717447494,-180.1754540592105,-177.36184712792127,-154.0248244555103,-183.5589764084525,-144.17760711058116,-146.48704652805455,-153.4703463650848,-171.69725903240672,-141.65069059476323,-164.27188927071603,-146.50970256779124,-141.51776089631693,-164.39301719623987,-147.03463089378917,-151.2045418902565,-146.56445667501043,-152.4092734573137,-119.72725397301893,-134.46985229933986,-159.3136212343781
-200.60645522857948,-193.16672337379822,-204.9060037869549,-190.6209038621453,-186.33595651782477,-185.50574926505888,-185.77931039080744,-184.12675747669053,-198.5926117502057,-161.4545720608902,-159.64647476425654,-177.2198074480781,-185.77996988347462,-172.5770829234565,-161.64670344935595,-133.93434152718328,-183.87019326703356,-164.0159044006168,-113.4750440677255,-160.47737345060656,-179.14427449104767,-131.29285144936063,-161.60315148747625,-145.07217079035513,-146.96125190467959,-164.2921607051331,-162.89181298670073,-147.42480983380554,-158.4887788071667,-158.56494432678556
-223.55014110032627,-169.07707445997121,-142.86462771960157,-185.99207056149123,-180.26934627793415,-132.81174759226124,-174.09170699496158,-171.3827077910153,-187.57191759377585,-140.03938367249512,-180.32142523029285,-176.51087506131879,-157.67738222602404,-186.6996641894719,-159.27417332363675,-137.26819228444262,-157.12246239413764,-127.24376724904444,-171.4197363782246,-176.06531976204272,-148.24350762344255,-164.5319539657086,-140.2944950747808,-140.85152016289166,-162.90138011173562,-160.2236328187209,-148.14023040833254,-158.3876409582279,-155.92742410903202,-121.9785045380903
-225.5049881344198,-210.72324341953177,-202.57096618946224,-195.67028831057897,-197.06616033091944,-212.2202533302121,-153.68906874446105,-221.33276672681959,-153.59280524524945,-154.12818533348766,-164.58580097959745,-167.63013909289816,-168.51665556305042,-157.39677750219778,-193.98108124216088,-141.0895263720033,-177.71744510546333,-158.19775487868748,-154.48593596983764,-137.759888607318,-159.05879349424225,-146.45396581390193,-153.18794757260105,-162.96460257537393,-180.82326272247462,-171.79373756900395,-150.77919941491828,-127.06896924724072,-159.84299989477424,-148.64080415674445
-219.07393286499453,-192.1900917227669,-210.24601083896755,-159.79998475728272,-126.67402079508933,-192.6838431154695,-174.52270691407776,-166.93568268042807,-177.0641349323779,-175.95736866650904,-122.11554641137123,-169.85962123876507,-162.27565678680628,-132.8554229622718,-179.65056673642061,-152.78555848573265,-151.6766045469194,-102.65101568899877,-179.65783990670894,-126.74947701112637,-167.01920553701675,-150.19773693028165,-185.41286720165834,-127.88914561542872,-149.34817209000016,-153.5083971861607,-164.9597575317654,-163.7259157668424,-156.95484105069883,-152.21903568758106
-191.99438957661812,-166.76909312170093,-157.76390254936507,-163.70633828251758,-203.04344487080013,-174.45842489161313,-166.83227573228663,-211.0394345168822,-170.4693281505028,-167.54378330528968,-157.12631630261856,-182.98851024275285,-121.50038377700355,-158.80303225513342,-139.981667937685,-160.93677110245883,-170.89722334637895,-139.35790938498243,-163.00723871684673,-136.58397475633151,-164.9664844328689,-174.32229946508858,-162.99603195642212,-137.84374433503893,-158.0519378715588,-134.26036711195633,-153.55232869343712,-166.60973117834467,-156.57853392577178,-164.34058260250848
