1,2,3,4,5,6,7,8,9,10
-31153.730358829886,-5815.142941221103,-5733.076967554836,-210.442155642052,-214.54911137756702,-33.506047801692944,-48.74292340956177,-84.72013962097539,-408.1563387793722,-2192.3624722766535
-31154.38885549744,-5815.031809154666,-5733.468807639294,-210.52394612563245,-214.46453859533347,-33.15000338466388,-42.90233810858442,-99.46521568963969,-701.1535099210454,-1733.215815817756
-31153.781619255897,-5815.066722253276,-5732.651653832216,-210.43457159861958,-214.56354079965482,-36.272729341197454,-53.60333843092875,-124.76501383932975,-359.5381029146262,-1500.9307824195953
-31153.736700436242,-5814.966145747686,-5733.2083962403985,-210.28820512979414,-214.6818425064723,-34.207898814355,-61.279753935461585,-166.16963806029673,-601.8467918277191,-2377.238430975711
-31154.08270906283,-5815.203381984928,-5732.749047779771,-210.3362982652099,-213.36060746935556,-34.86545276795935,-46.11292195218942,-149.32304716690712,-315.0084410920344,-1541.999366123553
-31154.38730518723,-5815.5323426107725,-5733.385839575658,-210.2906249702548,-214.862817758066,-36.33609492026218,-53.195756231855995,-108.25772203548757,-331.5159748134503,-1106.2598239172696
-31153.845888559903,-5815.236753307467,-5732.864780333876,-210.7538568393035,-213.78354323001597,-36.27553849357686,-45.30193407028136,-146.13956157464622,-381.30201767278646,-1227.7637793458696
-31153.50607282199,-5815.690418715659,-5733.35261437885,-210.4210273727055,-214.1262305096334,-36.313142998952344,-57.0943985901574,-140.42898129471044,-639.1947832289225,-1159.0728184740556
-31154.262157965393,-5814.920472387255,-5732.992985186744,-210.5896236647308,-214.90619951346278,-36.262543899045745,-60.82456962864422,-98.4927759010527,-201.6634168494963,-847.7478926013852
-31153.48257153912,-5815.31020544647,-5734.055106702819,-210.6678586633906,-214.6677135191348,-35.18339730358887,-52.897202458365406,-123.24360905517626,-158.62432865353082,-1683.1587688624081
-31154.16622269284,-5815.379461824027,-5732.897892944796,-210.86970798837532,-215.00021807752765,-36.90719732820975,-48.17914791996934,-160.3885018063267,-438.452842743405,-1603.0748417896564
-31154.454790278374,-5814.555896147161,-5733.326691393827,-210.80827359680688,-214.78279672840745,-36.086331158455366,-56.0405286008804,-125.83780516266152,-554.0785852933097,-2040.3170017220684
-31154.119912202383,-5815.131846350378,-5732.990657438484,-210.0566134824489,-214.42705380406736,-34.019591876034696,-45.94951476608897,-121.93072262712457,-374.1696592360208,-1702.0286625812257
-31154.083914768038,-5815.286853981953,-5733.262890423042,-210.76678824054005,-214.10238094569073,-35.518556090524335,-57.26736781605795,-137.44803122526008,-427.4104859429496,-1236.5847937452302
-31153.951156028994,-5815.086907575917,-5732.740483019885,-210.55109601902154,-215.38565444817922,-35.93069536479147,-53.19348091227358,-124.94201381608212,-588.0245259070133,-2584.631021393907
-31153.662592058423,-5814.9176300502695,-5733.608434896061,-210.21607658758282,-214.97874101941795,-34.587625581728304,-46.950281612349,-95.05130810215982,-454.30980450879844,-1578.6691361202588
-31153.723200544497,-5814.543057021527,-5733.576230438197,-210.86522438158917,-214.11802268913698,-36.30566914995692,-40.6376985226281,-73.19129687121587,-444.0145852379217,-1370.5057735148364
-31153.956992301843,-5815.019249787223,-5733.750114976634,-210.36986557558467,-214.71223193080257,-36.70250325478198,-52.57848619214209,-92.71653440331542,-500.9556153124241,-1542.361611871622
-31153.9901068293,-5815.4847785801385,-5733.6580299009875,-210.68101932127888,-214.54954169258957,-34.600651014104834,-50.77106701519083,-107.02640722211832,-252.75492958306347,-755.4158973850911
-31153.80586019415,-5814.46259433458,-5733.888755657549,-210.41409206325508,-215.69818950904866,-32.76930112786035,-42.32109620338726,-57.04970911163956,-360.4906045222093,-847.912953116675
-31153.673600531823,-5815.40551197359,-5733.306636978653,-210.21194383260664,-215.28554771328425,-32.65966328212636,-57.35346802318231,-68.08530338445397,-602.4692811545721,-1496.5429737227196
-31153.77301898147,-5815.178000322028,-5732.941643795246,-210.0855813935107,-214.18993055165518,-35.54696628284738,-63.040906491411995,-141.87201252281238,-544.9725497762731,-860.9207770785002
-31154.318046585293,-5814.897972242113,-5733.413923555218,-210.67408442919373,-213.5901463391661,-33.929470316024535,-51.64898745844054,-136.26097776667785,-426.1115172859218,-1003.6233203011868
-31154.497900589296,-5814.574597861358,-5732.854578449972,-210.36388644751625,-214.07210171792212,-37.122037016616424,-44.60215848021543,-91.12708553371266,-235.29980361404841,-1167.6977079015344
-31153.571164067023,-5815.695916078633,-5733.496197655209,-210.44734371289357,-212.96203457429843,-34.27216923901318,-52.43047357415039,-130.54319272553496,-435.434490628632,-2391.9252858854243
-31153.907363816907,-5815.349537640757,-5733.2346580546555,-210.74915325774342,-212.79790345877768,-34.86522159025072,-50.329265662229034,-87.52814338529073,-476.9640678197001,-1533.0897704222252
-31153.98147931187,-5814.507366745714,-5733.070988284938,-210.30845418436746,-213.39713138598253,-33.01163104325062,-57.43325705069245,-122.57742445546151,-215.80357323783426,-859.5204883014299
-31153.29226610579,-5815.025825066165,-5733.079358965722,-210.50161259474422,-214.71392184038532,-37.51716155315528,-39.47065249456211,-50.90123868797184,-292.0024771242451,-1232.2039336844948
-31153.932422184138,-5814.83726841107,-5732.96625036541,-210.61971381148467,-213.90222194899485,-34.8826269853641,-48.161931579821974,-116.31408247648152,-471.52284686254245,-795.0831034090503
-31153.673415349276,-5814.987785791545,-5733.352451505356,-210.4050740638923,-214.32458094568761,-33.52835528778597,-46.65133439907864,-141.32760532371083,-353.7302168666595,-1408.2205683102547
